name,lat,lon,shop,brand,opening_hours,website,phone
Bodegon San Pedro,43.3257658,-1.9262783,convenience,,,,
Bodega Puigmal,42.2531157,3.1033425,supermarket,,,,
Montserrat,42.2452006,3.1258616,supermarket,,Mo-Sa 08:30-21:00; Su 08:30-14:30,,
Alcampo,43.3669783,-1.7954051,supermarket,Alcampo,Mo-Sa 09:00-21:00,,
Labore Oarso,43.3012463,-1.8793827,supermarket,,,,+34 943 47 74 01
Spar,42.8900362,-0.1138777,convenience,Spar,,,
Carrefour Market,42.8272044,0.3331506,supermarket,Carrefour Market,Mo-Sa 08:00-19:30; Su 08:00-12:30,https://www.carrefour.fr/magasin/market-bourisp,+33 5 62 40 70 80
Eroski,43.3182256,-1.9677533,supermarket,Eroski,Mo-Sa 09:00-21:00,,
Maxi Mercat,42.5435615,1.7327092,supermarket,,,https://www.hiperpas.com/,+376 855 338
Hiper Pas IV,42.543212,1.7354792,supermarket,,Mo-Sa 08:00-20:00; Su 08:00-19:00,,
Spar,42.5416228,1.7321279,supermarket,Spar,,,
Todo Todo,43.3035337,-1.9811067,convenience,,,,
Ixa,43.2820082,-1.9477225,supermarket,,,,
Franprix,42.4815399,3.1288184,convenience,Franprix,Mo-Sa 07:30-20:00; Su 07:00-13:00,https://www.franprix.fr/magasins/1245,
Alimentation St. Sebastien,42.4821305,3.1278173,convenience,,,,
Les Marchés du Sud,42.4821326,3.1286374,greengrocer,,,,
Vival,43.2653199,-1.3497493,convenience,Vival,"Mo-Sa 08:00-12:15,16:00-19:00; Su 08:00-12:00",,
Épicerie L'Estibère,42.8884556,-0.4275992,convenience,,,,+33 6 88 38 19 75
Vival,43.3876554,-1.6603301,convenience,Vival,"Mo-Sa 08:00-12:30,15:00-19:30",https://magasins.vival.fr/fr/vival-saint-jean-de-luz,+33 5 59 26 13 65
Les Vergers du Roussillon,42.5168851,3.1055993,greengrocer,,,,
,43.295727,-1.9555301,convenience,,,,
Eroski City,43.295342,-1.9546706,supermarket,Eroski,Mo-Fr 08:30-20:00; Sa 09:00-14:00,,
Intermarché Contact,42.8733563,0.3426354,convenience,Intermarché Contact,,,
Blanc,42.5032579,2.0774447,convenience,,"Tu-Sa 08:15-12:15,16:00-19:30; Su 08:15-12:15",,
Intermarché Contact,42.5550214,3.0430569,supermarket,Intermarché,,,
Franprix,42.5506908,3.0469936,convenience,Franprix,Mo-Sa 07:30-19:30; Su 08:30-20:00,https://www.franprix.fr/magasins/1242,
Direct Roussillon,42.5241496,3.0832822,convenience,,,,
Carrefour Express,42.5173761,3.1060223,supermarket,,Mo-Su 08:00-20:00,https://www.carrefour.fr/magasin/carrefour-express-port-vendres,+33 4 68 61 58 74
,43.0175084,-0.9546343,convenience,,,,
Covirán Mendigatxa,42.8615113,-0.9227575,supermarket,Covirán,,,
,42.7550179,-0.8288666,convenience,,,,
Carniceria & Alimentación Rosenda,42.7569141,-0.828278,convenience,,,,
Mur,42.5805066,0.3384984,convenience,,,,
,42.4707899,0.5982812,convenience,,,,
,42.5120697,0.4884133,convenience,,,,
Bon Area,42.4119802,1.1312887,supermarket,Bon Area,,,
Port Cantó,42.3976296,1.1379287,convenience,,24/7,,
Abegi,43.3175102,-1.9523752,convenience,,,,
Spar,43.1757989,-1.3464396,supermarket,Spar,"Mo-Sa 07:30-12:30, 14:00-19:00; Su 07:30-12:15",https://www.oronos.fr/,+33 5 59 37 40 34
Total,42.4631544,2.6388602,convenience,Total,24/7,https://store.totalenergies.fr/en_EN/NF043652,+33 4 68 39 11 45
,42.5918717,0.5393891,supermarket,,,,
Relais des Mousquetaires,42.4034111,2.4812519,convenience,,"Sep-Jun Mo-Sa 09:00-13:00,15:00-19:00; Su 09:00-12:00; Jul-Aug Mo-Sa 09:00-:19:00; Su 09:00-12:00",,+33 4 68 39 79 93
Salata,42.2653453,3.1564597,convenience,,,,
Roussillon & co,42.4819831,3.1286137,convenience,,,,
Lidl,42.271825,3.147622,supermarket,Lidl,Mo-Fr 09:00-21:30; Su 09:00-15:00; Sa 09:00-21:30,,
Hiper Roses,42.2634324,3.1542639,supermarket,,,,
Neus,42.4259799,3.159458,convenience,,,,
Linge maison,43.3110141,-1.6898973,supermarket,,,,
Au Petit Marché,42.7884992,0.0192359,convenience,,Tu-Su,,+33 5 62 45 35 14
Sol y Nieve,42.7073902,0.9027191,convenience,,,,
Supermercat - Ca la mama,42.2916114,3.2821678,convenience,,,,
Spar,42.2894675,3.2766557,supermarket,Spar,,,
Todotodo Spar,43.3408212,-1.7832296,supermarket,Spar,,,
Valvi,42.3687711,3.157359,supermarket,,Mo-Su 08:30-21:30,,
Can Kiko,42.41171,1.1303266,convenience,,,,
Llibreria-papereria Solé,42.4117426,1.1308501,kiosk,,,,
Giró,42.4101356,1.1293423,convenience,,,,
Dia,42.4127933,1.1311743,supermarket,Dia,,https://www.dia.es,
Garralla,42.5465247,1.513732,supermarket,,,,
BM,43.2684296,-1.9757324,supermarket,BM,,,
Eroski City,43.2666175,-1.977048,supermarket,Eroski,,,
Aliprox,43.2662898,-1.9750279,supermarket,,,,
Proxi Superette,42.5231504,2.9355095,convenience,,,,
El botero de Masueco,42.6051681,0.5221203,convenience,,,http://www.elboterodemasueco.com/,+34 974 55 29 87
SPAR,42.3380368,3.2033326,supermarket,,,,
Birolez,42.8752858,0.9575295,convenience,,"Tu-Su 12:30-19:00,16:00-19:00, Su 16:00-19:00; Mo off",,
Supeco,42.7935387,0.5931284,supermarket,,"Mo-Sa 08:30-19:30, Su 09:00-12:45",https://magasin.netto.fr/568-netto-bagneres-de-luchon,
el mercat,42.5801855,1.6514365,supermarket,,Mo-Sa 08:00-22:00; Su 08:00-21:00,,+376 720 358
Spar,42.4566088,2.037681,convenience,Spar,"Mo-Sa 07:00-13:00,15:30-19:30; Su 08:00-13:00",https://magasins.spar.fr/fr/s/spar-supermarche-saillagouse,+33 4 68 04 30 02
Caprabo,42.5087003,1.5347141,supermarket,Caprabo,Mo-Sa 10:00-21:00; Su 10:00-19:00,https://www.caprabo.com/,+376 870 310
,42.3430073,3.060464,greengrocer,,,,
Eroski,43.2691774,-1.9739739,supermarket,Eroski,,,
Intermarché,43.3532937,-1.7738182,supermarket,Intermarché,Mo-Sa 09:00-20:00; Su 09:00-12:30,https://www.intermarche.com/magasins/06832/hendaye-64700/infos-pratiques,+33 5 59 20 31 89
Toki Eder,43.3118349,-1.8968703,greengrocer,,,,
BM,43.313581,-1.8998398,supermarket,BM,,,
Todo Todo,43.3114713,-1.9015749,supermarket,,,,
Ravi Frutas 77,43.3146246,-1.9009079,greengrocer,,,,
Super Amara,43.3127091,-1.9040097,supermarket,,,,
BM,43.3171641,-1.9717483,supermarket,BM,,,
Vival,42.8828324,1.2152463,convenience,Vival,"Mo-Tu 07:30-13:00, 15:00-19:30; Th-Sa 07:30-13:00, 15:00-19:30",https://vival.casino.fr/stores/tw622,+33 5 61 66 82 71
La Palmera,43.3375892,-1.7825113,greengrocer,,,,
Supermercado El Bozo,42.7880299,-0.5304205,convenience,,,,
,42.7889125,-0.5303873,convenience,,,,
Axun,43.1470882,-1.5191873,greengrocer,,,,
Eroski,43.1465852,-1.516194,supermarket,Eroski,,,
Alimentación Adela,43.1448103,-1.5188815,supermarket,,,,
BM,43.1384091,-1.5262673,supermarket,BM,,,
Dia,43.142555,-1.5209309,supermarket,Dia,,,
Eurospar,42.2401979,3.1231096,supermarket,Eurospar,,,
,43.2461657,-1.9926267,supermarket,,,,
Carrefour Montagne,42.9111947,0.177548,supermarket,Carrefour Montagne,Mo-Su 08:00-20:00,https://www.carrefour.fr/magasin/montagne-la-mongie,+33 5 62 95 51 92
Alcampo,43.3200039,-1.834781,supermarket,Alcampo,Mo-Sa 10:00-22:00,,
BM,43.316313,-1.9325222,supermarket,BM,Mo-Sa 09:00-21:00,,
Bonpreu,42.2649626,3.1757095,supermarket,Bonpreu,,,
,43.3476845,-1.7707726,convenience,,,,
Carrefour Express,43.3718962,-1.7739221,convenience,Carrefour Express,Mo-Sa 08:00-21:00; Su 09:00-13:00,https://www.carrefour.fr/magasin/express-hendaye-pins,+33 5 59 20 10 65
Casino Shop,43.3722972,-1.7733956,convenience,Casino Shop,"Mo-Su,PH 08:00-20:00",,
Carrefour,42.547324,1.5144977,supermarket,Carrefour,,,
,42.5122893,0.4933213,convenience,,,,
Covirán,42.5120475,0.4903154,supermarket,Covirán,,,
Co Aliment,42.6290481,1.1212473,supermarket,,,,
Épicerie du Courdet,42.9284264,0.89587,convenience,,,,
,42.5881233,1.3267854,convenience,,off,,
El Rebost d'Espot,42.5756288,1.0883011,convenience,,,,
Spar,42.325653,3.0929314,supermarket,Spar,,,
Eroski City,42.6055009,0.5252736,supermarket,Eroski,"Mo-Sa 09:00-14:00,17:00-20:00",,
Petit Casino,42.8909223,1.3434197,convenience,Petit Casino,,,
Eco boats,42.2465217,3.1249902,kiosk,,,,
Los Barkitos,42.2464286,3.1248897,kiosk,,Mo-Su 10:00-19:00,https://www.marinaferry.es,+34 972452579
,42.9732809,-1.3519986,convenience,,,,
Comer la Clementina,42.5332806,1.5792389,convenience,,,,
Supermerkat Can Ribas,42.4268606,3.1590887,supermarket,,"Mo-Sa 9:00-13:30,16:00-19:00",,
L'épi du Moulin,42.3838787,2.614587,convenience,,,,+33 4 68 39 55 00
Intermarché,42.4860848,2.7492357,supermarket,Intermarché,,,
Sherpa,42.7006111,1.8148946,supermarket,Sherpa,,,
Casino,42.9589144,-0.0744118,supermarket,Casino,"Mo-Sa 08:00-12:30,16:00-19:30; We 08:00-12:30",,+33 5 62 92 78 21
,42.9584394,-0.0753239,greengrocer,,,,
,42.4684717,1.4933845,convenience,,,,
Suma,42.3074004,3.1463818,supermarket,Suma,,,
A Mano,42.8081397,-0.9555449,convenience,,,,
,43.1847863,-1.5073258,convenience,,,,
Valvi,42.3352383,3.2019959,supermarket,,,,
Conchi,43.3162685,-1.9042252,convenience,,,,
,43.3078754,-1.8926327,convenience,,,,
,43.3082267,-1.8945706,convenience,,,,
,43.3092708,-1.904883,convenience,,,,
Eder,43.3096709,-1.904427,convenience,,,,
,43.3092962,-1.9073586,convenience,,,,
Covirán,43.3104523,-1.8910969,supermarket,Covirán,,,
Pili,43.310438,-1.912903,convenience,,,,
Mari Asun,43.3101569,-1.9131173,convenience,,,,
Marce,43.3168026,-1.910865,convenience,,"Mo-Fr 09:00-14:00, 17:30-20:00; Sa 09:00-14:00",,+34 943 34 08 57
,43.3109555,-1.910508,greengrocer,,,,
,43.3119924,-1.910909,convenience,,,,
Adarra,43.3114444,-1.9130832,greengrocer,,,,
Schlecker,43.3111834,-1.9125864,convenience,,,,
Laliren kioskoa,43.3393334,-1.7896891,kiosk,,,,
Veritas,43.3242447,-1.9734282,supermarket,,Mo-Sa 09:15-21:15,,
Frutería Félix,43.324168,-1.973279,greengrocer,,,,
BM,43.3244437,-1.9731364,supermarket,BM,Mo-Sa 09:30-21:30,,
Covirán,43.3420692,-1.8075756,supermarket,Covirán,,,
Isu,43.3234907,-1.9719748,greengrocer,,,,
El Espigón,43.3244953,-1.9722679,supermarket,,,,
Lidl,43.3245083,-1.9718189,supermarket,Lidl,,,
Dia,43.3250717,-1.9721926,supermarket,Dia,Mo-Sa 09:00-21:00,,
Vicki,43.3341062,-1.7885559,convenience,,,,
Caprabo,42.7109826,0.7979861,supermarket,Caprabo,,,
BM,43.3251666,-1.9708327,supermarket,BM,,,
Danión,43.3256503,-1.9714344,greengrocer,,,,
,43.325606,-1.9711709,greengrocer,,,,
Naya,43.3256359,-1.9711236,greengrocer,,,,
Todo todo,43.325535,-1.9712775,supermarket,,,,
La Frutería,43.322839,-1.9733336,greengrocer,,,,
Carrefour Express,43.3898832,-1.6857997,convenience,Carrefour Express,Mo-Su 08:00-21:00,https://www.carrefour.fr/magasin/express-urrugne,
Covirán,43.3228968,-1.9129156,supermarket,Covirán,,,
Gure denda,43.3247752,-1.9175577,convenience,,,,
1907an irekia,43.3272662,-1.919856,convenience,,,,
Queseria Ekia,42.8928069,-0.9401917,convenience,,,,
Aliprox,42.6026566,-0.1217979,supermarket,,,,
Solbes,43.365555,-1.792945,supermarket,,,,
,42.4945841,2.7157104,greengrocer,,,,
Ma Coop,42.4939271,2.7376148,greengrocer,,"Mo-Sa 09:00-13:00,14:00-19:00",,
Joanet,42.5828478,1.2362808,supermarket,,,,
Moulin de Saint-Pierre,42.5274188,3.084693,convenience,,,,
Alimentation de la Tour,42.5237191,3.0856136,convenience,,"Mo-Su 07:30-12:30,16:00-19:00",,
Vival,42.526421,3.0830002,convenience,Vival,Mo-Su 08:00-20:00,https://magasins.lepetitcasino.com/fr/s/petit-casino-collioure-leclerc,+33448892481
Super Amara,43.3080783,-1.971045,supermarket,,,,
Reflet de Lames,42.5275939,3.084492,convenience,,,,
Boutique Sympa,42.5275949,3.0846636,convenience,,,,
El cami pitit,42.5275435,3.0847046,convenience,,,,
Manjao,42.5275788,3.0848092,convenience,,,,
Lavande,42.5275889,3.0853341,convenience,,,,
Majolique,42.527476,3.0854326,convenience,,,,
Majolique,42.5275597,3.0852699,convenience,,,,
Souvenirs,42.5276201,3.0854011,convenience,,,,
Les Ch'tites courses,42.5108603,2.1784138,convenience,,,,
La musette de l'Ars,42.7901809,1.3363095,convenience,,"Mo-Th 08:30-13:00,16:00-19:00; Fr-Su 08:30-19:00",,+33 6 12 23 02 92
els Carantos,42.4763619,0.7170783,kiosk,,,,
Super U,42.5079632,1.5304282,supermarket,,,https://www.magasins-u.com/magasin/superu-andorra.m98005,
Les Épiciers d'Ustou,42.7975001,1.2634612,convenience,,"We-Su 08:30-13:45, 15:45-19:00",,+33 5 61 64 63 12
,43.3382541,-1.7648984,supermarket,,,,
Català,42.4037047,3.1506731,supermarket,,,,
Mercè,42.4037107,3.150839,supermarket,,,,
Carrefour Montagne,42.8752756,-0.0036159,supermarket,Carrefour Montagne,,,+33 5 62 92 83 01
Mercadona,42.7036565,0.7942543,supermarket,Mercadona,Mo-Sa 09:15-21:15,https://www.mercadona.es,+34 973 307 265
Ca d'Antema Carnisseria Queviures,42.3792783,0.964058,supermarket,,"Mo-Sa 09:00-14:00,17:00-19:30",https://www.cadantema.com/,+34 973 66 3123
Alimentación,43.3395359,-1.7840048,convenience,,,,
Covirán,43.3403227,-1.7710293,supermarket,Covirán,,,
Capain,43.3379767,-1.7854591,convenience,,,,
Juan,43.3383893,-1.788527,convenience,,,,
Dumboa,43.3382646,-1.7826722,supermarket,,,,
Casa prujente,42.5125816,0.4927943,convenience,,,,
Tiendica de Biskarret,42.9674509,-1.4186978,supermarket,,,,
Proxi,42.957862,-0.3315786,convenience,Proxi,"Mo-Su 08:00-12:30, Mo-Sa 15:30-19:00",,
Vival,42.7876663,1.2988367,convenience,Vival,"Mo-Sa 08:00-13:00,16:00-19:00; Su 09:00-13:00",https://magasins.vival.fr/fr/s/vival-seix,+33 5 61 64 93 94
Coopérative Maritime,43.3846288,-1.6654735,supermarket,,,,
La huerta del País,43.3393389,-1.7874543,greengrocer,,,,
plusfrésc,42.413665,1.132496,supermarket,,Mo-Sa 09:00-21:00,,
Casa Chep,42.520024,0.8477761,supermarket,,,,
Supermercat L'Escudeller Queviures,42.5047103,0.802394,supermarket,,"Mo-Su 09:00-14:00,17:00-20:00",,
L'Agrobotiga,42.5041068,0.8006564,convenience,,,,
Alto Aragon,42.6040759,-0.1222806,supermarket,,,,+34 974 486 006
Au Panier du Garbet,42.8503776,1.2873382,convenience,,,,
Monop',43.3892497,-1.6598004,convenience,Monop',Mo-Su 08:00-22:00,,+33 5 59 85 25 88
Carrefour City,43.3907299,-1.6574176,convenience,Carrefour City,Mo-Sa 07:00-21:00; Su 09:00-13:00,https://www.carrefour.fr/magasin/city-saint-jean-de-luz,+33 5 59 26 46 46
Le Relais des Mousquetaires,43.1615182,-1.2377362,convenience,,"Mo, We-Sa 09:00-12:30, 15:30-19:15",,
l'epicerie,42.791276,0.389134,convenience,,,,+33 5 62 99 98 10
Baztango,43.1432903,-1.5195976,greengrocer,,,,
Carrefour Montagne Loudenvielle,42.7960301,0.4092239,supermarket,Carrefour,Mo-Su 08:00-20:00,https://www.carrefour.fr/magasin/montagne-loudenvielle,+33 5 62 99 66 84
Art & Gastro,42.9876378,-0.4265388,convenience,,,,
Le Jardin de Nadège,42.987778,-0.4259728,convenience,,,,
Autoservei Carme,42.3853354,2.7465802,convenience,,,,
Toma pan y moja,43.3406961,-1.787033,convenience,,,,
Condis,42.2593928,3.1804372,supermarket,Condis,Mo-Sa 09:00-21:00; Su 09:00-14:30,,
,42.2476432,3.1961126,supermarket,,,,
Dumboa,43.3394584,-1.7892391,convenience,,,,
Intermarché Super,42.912725,0.6478569,supermarket,Intermarché Super,"Mo-Fr 09:00-12:30,14:30-19:30; Sa 09:00-19:30",,
Super Amara,43.3405621,-1.7900881,supermarket,,,,
Ábrego carnicería alimentación,43.3405164,-1.7911397,convenience,,,,
Kiosko 33,43.3403659,-1.7917312,kiosk,,,,
Lola comestibles,43.3389052,-1.7822774,convenience,,,,
Frutería Zubitxo,43.3231671,-1.9313457,convenience,,,,
BM,43.3222484,-1.9397097,supermarket,BM,,,
La Corbeille Catalane,42.5542775,3.0426266,greengrocer,,,,
Proxi,42.5302763,2.9551194,convenience,Vival,"Mo-Sa 07:30-12:30, 16:00-19:00; Su 08:30-13:00",,+33468954839
Spar,43.3238161,-1.9737864,supermarket,Spar,,,
,42.5562857,3.0420044,greengrocer,,,,
Frutas y verduras Ordizia,43.334184,-1.7897938,greengrocer,,,,
Supermercado Larreaundi,43.3346963,-1.789075,supermarket,,,,
Euskofrutak,43.3393385,-1.7834986,greengrocer,,,,
Supermercat Sole,42.4035965,3.1491317,supermarket,,"08:00-13:00,17:00-20:00",http://www.supermercatsole.com/ca/,+34 972 38 90 31
Dumboa,43.340389,-1.7835974,greengrocer,,,,
Primaprix,43.3406933,-1.7926025,convenience,,,,
Frutería Kukumiku,43.339676,-1.7952658,greengrocer,,,,
Goxofrutak,43.3404879,-1.7953813,greengrocer,,,,
Carrefour Express,43.3370571,-1.780928,convenience,Carrefour Express,,,
Carrefour Express,43.3388829,-1.7979438,convenience,Carrefour Express,,,
Kiosko Ensanche,43.3403332,-1.7935393,kiosk,,,,
,43.3408852,-1.796171,kiosk,,,,
Hospicerie,42.5884402,1.7984731,convenience,,,,
Super Adarra,43.3230415,-1.974907,greengrocer,,Mo-Fr 08:30-20:30; Sa 08:30-14:00; Su 10:00-14:00,,
,43.322344,-1.9740885,greengrocer,,,,
Iparragirre,43.3222616,-1.9753746,convenience,,,,
,43.1088223,-1.2829726,convenience,,,,
,43.0931284,-1.3011481,convenience,,,,
,42.9772933,-0.7444567,supermarket,,,,
Frutas Dumboa,43.3387208,-1.7956787,convenience,,,,
Super Pollo,43.3383143,-1.7960396,convenience,,,,
Vival,42.7902195,0.4462124,convenience,Vival,,,
Sherpa Supermarché Peyragudes,42.7941704,0.4421857,supermarket,,"Mo-Su 08:30-12:45, 15:45-19:30",,+33 5 62 39 83 73
Frutería F. Solís,43.338113,-1.7962826,greengrocer,,,,
Aliprox,43.3410375,-1.7994048,supermarket,,,,
,43.3415267,-1.7988132,greengrocer,,,,
Rafa Aceitunas y encurt.,43.3418729,-1.7986742,convenience,,,,
Dia,42.4655197,1.4913109,supermarket,Dia,09:00-21:00,,
Netto,43.0002871,-0.0955296,supermarket,Netto,"Mo-Sa 09:00-12:30,14:30-19:30; Su 09:00-12:00",https://magasin.netto.fr/237-netto-argeles-gazost,
Vival,43.0977618,-0.8192054,convenience,Vival,,,
Carrefour Montagne,42.8172594,0.3223264,convenience,Carrefour Montagne,Mo-Sa 08:00-21:00; Su 09:00-21:00,https://www.carrefour.fr/magasin/montagne-saint-lary-soulan,+33562401247
Le Petit Casino,42.8163693,0.3214202,convenience,Le Petit Casino,"Tu-Su 09:30-12:30,16:00-20:00",https://magasins.petitcasino.fr/fr/petit-casino-saint-lary-soulan,+33 5 62 39 55 03
Carrefour Express,42.9211583,1.031392,convenience,Carrefour Express,Mo-Sa 08:00-20:00; Su 09:00-13:00; PH 09:00-13:00,https://www.carrefour.fr/magasin/express-castillon-en-couserans,+33 5 34 14 01 53
Supermercado Camping Pineta,42.6515124,0.1404144,convenience,,"08:00-21:00; Tu,We 08:00-14:00,17:00-20:00",,
,43.2617325,-1.225472,convenience,,,,
Covirán,42.720304,-1.0029106,supermarket,Covirán,,,
Erletxo,42.9050401,-1.0909856,convenience,,,,
,42.8619979,-0.9226591,kiosk,,,,
Supermercado Abós,42.628297,-0.3209388,supermarket,,"Mo-Sa 09:00-14:00,17:30-20:30; Su 09:00-14:00",,
Coaliment,42.6299805,-0.3263234,supermarket,Coaliment,"Mo-Su,PH 08:30-22:30",,
Alimentación Toñi,43.3099288,-1.9093474,convenience,,,,
Casa Rural Alimentacion Bodega,42.7168268,-0.5257781,convenience,,,,
Aliprox,42.7528161,-0.515046,supermarket,,,,
Mi Alcampo,42.7724133,-0.3304814,supermarket,,Mo-Su 09:00-20:30,,+34 974 48 82 78
Carrefour City,42.5661311,1.598642,supermarket,Caprabo,Mo-Sa 09:00-21:00; Su 09:00-15:00; PH closed; Su 16:30-20:00,,
BM,43.3411709,-1.8019369,supermarket,BM,,,
Mi Alcampo,42.7354472,-0.313042,supermarket,Alcampo,"Mo-Su 09:00-13:45,16:15-19:30",,+34 974 45 75 99
Ravessany,42.504446,0.8005098,convenience,,,,
Coaliment,42.7238261,-0.2826075,supermarket,Coaliment,Mo-Su 08:00-22:30; PH 08:00-22:30,,
Benta Peio,43.1170096,-1.2708082,supermarket,,,,
Monina,43.3580946,-1.7758648,convenience,,,,
Hendaiakoop,43.3581286,-1.7757122,convenience,,,,
Eroski City,43.2812697,-1.9475622,supermarket,Eroski,,,
Proxi,43.3712451,-1.7843341,convenience,Proxi,,,
BM,43.3158746,-1.9021454,supermarket,BM,,,
Dia,43.3150501,-1.9399673,supermarket,Dia,,,
BM,43.3141173,-1.9397367,supermarket,BM,,,
,42.4275922,2.8680474,supermarket,,,,
Elika,43.3402082,-1.447395,convenience,,,https://elika-espelette.jimdofree.com/,
Intermarché Contact,43.1830825,-1.3356029,convenience,Intermarché Contact,"Mo-Th 09:00-12:50,14:30-19:20; Fr-Sa 09:00-19:20",,+33 5 59 37 48 48
BM,43.339002,-1.7809234,supermarket,BM,Mo-Sa 09:30-21:30,,
,42.9410894,-0.177884,convenience,,,,
Epicerie du Cambre,42.4945137,2.1189775,convenience,,"Mo-Sa 07:30-12:30, 16:30-19:30; Su 07:30-12:30",,
Andora,42.546397,1.5218296,supermarket,,,,
Dia,42.4155997,1.1320827,supermarket,Dia,Mo-Sa 09:00-21:00; Su 09:30-14:30,https://www.dia.es,
,42.4449566,1.1353732,convenience,,,,
,42.2927563,3.2831928,convenience,,,,
Vival,43.3835012,-1.6676775,convenience,Vival,Mo-Su 08:00-21:00,https://magasins.vival.fr/fr/vival-ciboure,+33 5 59 47 13 55
Bureau D’animation,42.9728696,-0.3934023,convenience,,,,
,43.014598,-0.8542152,convenience,,,,
Alimentation Paris,43.1668314,-1.2373897,convenience,,,,
Spar,42.4563907,2.635893,convenience,Spar,"Mo-Th 07:30-12:30, 14:00-19:30; Fr, Sa 07:30-19:30; Su 07:30-12:30",https://magasins.spar.fr/fr/s/spar-arles-sur-tech,+33 4 68 39 25 34
Mercadona,42.2711615,3.1439958,supermarket,Mercadona,Mo-Sa 09:00-21:00,https://www.mercadona.es,
Ca la Mama,42.2664002,3.1631714,convenience,,"Mo-Su,PH 08:00-13:30,16:00-18:00",,
Nerea,42.3264891,3.0942851,convenience,,,,
Marisol Janaridenda,43.1638519,-1.6694666,convenience,,,,
Express,43.3246698,-1.9741208,convenience,,,,
Frutería,43.3233967,-1.9700822,greengrocer,,Mo-Fr 08:00-19:00; Sa 09:00-13:30,,
San Ignacio,43.3237299,-1.9739055,convenience,,,,
Dia,42.6295078,-0.322346,supermarket,Dia,Mo-Sa 09:00-21:00,,
BonÀrea,42.5062496,1.5293281,supermarket,BonÀrea,,,
Plusfresc,42.6240855,1.1233466,supermarket,Plusfresc,,https://www.plusfresc.cat/,
la Torrassa - Carrefour Express,42.5771484,1.1392296,supermarket,,,,
Alimentación Barés,42.8096112,0.7112366,convenience,,,,
Llibreria-Papereria,42.8092214,0.7110935,kiosk,,,,
Aran de Terra,42.8106941,0.7115902,convenience,,,,
Rocard,42.814896,0.7099294,convenience,,,,
Sherpa,42.813386,0.296582,convenience,,,,
Sherpa,42.8131594,0.2944418,convenience,,,,
Eroski,43.3436472,-1.7993484,supermarket,Eroski,,,
BM,43.3166777,-1.9172173,supermarket,BM,,,
La ferme Lloses,42.5038665,2.0395511,convenience,,,,
,42.2633141,3.1524652,kiosk,,,,
Spar,42.7828741,0.6027694,convenience,Spar,"Mo-Tu 07:00-13:30,16:00-20:00; Th-Fr 07:00-13:30,16:00-20:00; Sa 07:00-12:30,16:00-20:00; Su 08:00-12:30",https://magasins.spar.fr/fr/s/spar-saint-mamet,+33 5 61 79 03 76
Casino Shop,43.3885398,-1.6584609,convenience,Casino Shop,,,
Simply Basic,42.6049705,0.5227327,convenience,Simply Market,,,
Vival,43.3963652,-1.6579333,convenience,Vival,,,
Chez Lopez,43.3939825,-1.6496165,greengrocer,,,,
Vival,42.4038501,2.4786026,convenience,Vival,"Mo 07:30-19:30; Tu-Sa 07:30-12:30,15:30-19:30; Su 08:00-13:00",https://vival.casino.fr/stores/tt989,+33 4 68 82 98 42
Peio,43.3433398,-1.7594395,supermarket,,,,
